Year,Camps,Total,Annual
1976,1,1,1st
1977,1,2,2nd
1978,1,3,3rd
1979,1,4,4th
1980,1,5,5th
1981,1,6,6th
1982,1,7,7th
1983,1,8,8th
1984,1,9,9th
1985,1,10,10th
1986,1,11,11th
1987,1,12,12th
1988,1,13,13th
1989,1,14,14th
1990,1,15,15th
1991,1,16,16th
1992,1,17,17th
1993,1,18,18th
1994,1,19,19th
1995,1,20,20th
1996,1,21,21st
1997,1,22,22nd
1998,1,23,23rd
1999,1,24,24th
2000,1,25,25th
2001,1,26,26th
2002,1,27,27th
2003,1,28,28th
2004,1,29,29th
2005,1,30,30th
2006,1,31,31st
2007,1,32,32nd
2008,1,33,33rd
2009,1,34,34th
2010,1,35,35th
2011,1,36,36th
2012,1,37,37th
2013,1,38,38th
2014,1,39,39th
2015,1,40,40th
2016,1,41,41st
2017,1,42,42nd
2018,1,43,43rd
2019,1,44,44th
2020,1,45,45th
2021,0,45,
2022,0,45,
2023,1,46,46th
